Application:, Trigno Discover (1.6.5)
Date/Time:, 26/03/2024 10:44:37
Collection Length (seconds):, 7.7625
Femur Anterior (75657), , , , , , , , , , , , Femur Lateral (75758), , , , , , , , , , , , Tibia Anterior (75557), , , , , , , , , , , , Tibia Lateral (75812)
sensor mode: 609, , , , , , , , , , , , sensor mode: 609, , , , , , , , , , , , sensor mode: 609, , , , , , , , , , , , sensor mode: 609
ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), ACC X Time Series (s), ACC X (G), ACC Y Time Series (s), ACC Y (G), ACC Z Time Series (s), ACC Z (G), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s)
, 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz, , 370.3704 Hz
0, -0.1591797, 0, -0.9799805, 0, -0.2158203, 0, -22.6219521, 0, 6.7682929, 0, 0.2439024, 0, 0.0053711, 0, -0.9755859, 0, -0.3120117, 0, 9.7560978, 0, 5.5487804, 0, 3.2926829, 0, -0.0678711, 0, -0.9736328, 0, -0.2851562, 0, -2.804878, 0, 1.0365853, 0, -0.9756098, 0, 0.1269531, 0, -0.9897461, 0, -0.2412109, 0, -14.8780489, 0, -4.2682929, 0, 2.9878049
0.0027, -0.1586914, 0.0027, -0.9804688, 0.0027, -0.2094727, 0.0027, -23.0487804, 0.0027, 6.4024391, 0.0027, 0.1219512, 0.0027, 0.0068359, 0.0027, -0.9785156, 0.0027, -0.3134766, 0.0027, 9.3902445, 0.0027, 6.5243902, 0.0027, 2.9878049, 0.0027, -0.0693359, 0.0027, -0.9755859, 0.0027, -0.2890625, 0.0027, -2.8658538, 0.0027, 1.402439, 0.0027, -0.8536586, 0.0027, 0.1264648, 0.0027, -0.9892578, 0.0027, -0.2368164, 0.0027, -14.3902445, 0.0027, -3.7195122, 0.0027, 2.8658538
0.0054, -0.1552734, 0.0054, -0.980957, 0.0054, -0.2055664, 0.0054, -23.0487804, 0.0054, 6.2195125, 0.0054, 0.1829268, 0.0054, 0.0087891, 0.0054, -0.9780273, 0.0054, -0.3144531, 0.0054, 9.2682924, 0.0054, 7.5609756, 0.0054, 3.1707318, 0.0054, -0.0756836, 0.0054, -0.9746094, 0.0054, -0.2871094, 0.0054, -2.6219513, 0.0054, 1.8902439, 0.0054, -0.9146342, 0.0054, 0.125, 0.0054, -0.9921875, 0.0054, -0.2392578, 0.0054, -14.4512196, 0.0054, -2.9878049, 0.0054, 3.1707318
0.0081, -0.1518555, 0.0081, -0.9868164, 0.0081, -0.2099609, 0.0081, -23.1707325, 0.0081, 6.280488, 0.0081, 0.2439024, 0.0081, 0.0073242, 0.0081, -0.9819336, 0.0081, -0.315918, 0.0081, 9.0243902, 0.0081, 8.4146347, 0.0081, 3.1707318, 0.0081, -0.0800781, 0.0081, -0.9731445, 0.0081, -0.2861328, 0.0081, -2.5, 0.0081, 2.5, 0.0081, -0.7926829, 0.0081, 0.1254883, 0.0081, -0.9848633, 0.0081, -0.2407227, 0.0081, -14.3902445, 0.0081, -1.7682927, 0.0081, 3.3536587
0.0108, -0.1469727, 0.0108, -0.9882812, 0.0108, -0.2041016, 0.0108, -22.560976, 0.0108, 5.8536587, 0.0108, 0.1829268, 0.0108, 0.0068359, 0.0108, -0.9833984, 0.0108, -0.3183594, 0.0108, 9.2682924, 0.0108, 8.719512, 0.0108, 3.3536587, 0.0108, -0.0791016, 0.0108, -0.9780273, 0.0108, -0.2861328, 0.0108, -2.4390244, 0.0108, 2.9878049, 0.0108, -1.097561, 0.0108, 0.1171875, 0.0108, -0.9873047, 0.0108, -0.2368164, 0.0108, -14.2073174, 0.0108, -0.9146342, 0.0108, 3.2926829
0.0135, -0.1494141, 0.0135, -0.9907227, 0.0135, -0.2075195, 0.0135, -22.3780499, 0.0135, 6.2195125, 0.0135, 0.3048781, 0.0135, 0.0058594, 0.0135, -0.984375, 0.0135, -0.3110352, 0.0135, 9.0243902, 0.0135, 9.8170738, 0.0135, 3.1097562, 0.0135, -0.0854492, 0.0135, -0.9765625, 0.0135, -0.284668, 0.0135, -2.2560976, 0.0135, 2.804878, 0.0135, -0.7317073, 0.0135, 0.112793, 0.0135, -0.9863281, 0.0135, -0.2338867, 0.0135, -14.5731707, 0.0135, 0.1829268, 0.0135, 3.0487804
0.0162, -0.1484375, 0.0162, -0.9936523, 0.0162, -0.2026367, 0.0162, -21.7073174, 0.0162, 6.0975609, 0.0162, 0.1219512, 0.0162, 0.0024414, 0.0162, -0.9848633, 0.0162, -0.3085938, 0.0162, 9.1463413, 0.0162, 9.5731707, 0.0162, 3.0487804, 0.0162, -0.0869141, 0.0162, -0.9765625, 0.0162, -0.2817383, 0.0162, -2.4390244, 0.0162, 1.8902439, 0.0162, -1.0365853, 0.0162, 0.0966797, 0.0162, -0.9838867, 0.0162, -0.2319336, 0.0162, -14.3292685, 0.0162, 0.4268293, 0.0162, 3.2926829
0.0189, -0.1469727, 0.0189, -0.9941406, 0.0189, -0.2021484, 0.0189, -21.5243912, 0.0189, 6.1585369, 0.0189, -0.2439024, 0.0189, -0.0053711, 0.0189, -0.9907227, 0.0189, -0.3041992, 0.0189, 9.2682924, 0.0189, 9.3292685, 0.0189, 2.9268293, 0.0189, -0.09375, 0.0189, -0.9736328, 0.0189, -0.284668, 0.0189, -2.5609756, 0.0189, 1.2195122, 0.0189, -1.097561, 0.0189, 0.0981445, 0.0189, -0.984375, 0.0189, -0.2319336, 0.0189, -14.3292685, 0.0189, 0.4878049, 0.0189, 3.1707318
0.0216, -0.1455078, 0.0216, -0.9985352, 0.0216, -0.203125, 0.0216, -21.4024391, 0.0216, 6.0365853, 0.0216, 0, 0.0216, -0.0043945, 0.0216, -0.9897461, 0.0216, -0.3027344, 0.0216, 9.3292685, 0.0216, 8.780488, 0.0216, 3.1097562, 0.0216, -0.0952148, 0.0216, -0.9770508, 0.0216, -0.28125, 0.0216, -2.3170731, 0.0216, -0.1829268, 0.0216, -1.4634147, 0.0216, 0.0883789, 0.0216, -0.9887695, 0.0216, -0.2324219, 0.0216, -14.5121956, 0.0216, 0.1829268, 0.0216, 3.1707318
