station/location;date;gre000d0;hto000d0;nto000d0;prestad0;rre150d0;sre000d0;tre200d0;tre200dn;tre200dx;ure200d0
RAG;20250101;66;-;-;967.4;0;362;3.4;-1.2;8.3;56.6
RAG;20250102;34;-;-;957.9;7.2;10;5.8;1;11;55.3
RAG;20250103;41;-;-;962.6;0.1;66;0.4;-2.5;2.3;85.7
RAG;20250104;65;-;-;960.5;0.6;363;-0.9;-3.1;5.3;69.9
RAG;20250105;14;-;-;950;0.1;0;7.2;3.1;13.6;63.6
RAG;20250106;76;-;-;944.1;4.9;264;12.8;6.1;16.4;41.5
RAG;20250107;55;-;-;950.3;0;280;4.6;1.6;8.1;80.8
RAG;20250108;29;-;-;949.2;0;1;8.2;3.6;11.9;57.5
RAG;20250109;51;-;-;948.2;3.5;222;9;2.3;15.6;60.5
RAG;20250110;31;-;-;960.4;3.6;8;2;-0.3;3.7;71.1
RAG;20250111;57;-;-;964.6;0.5;136;0.2;-1;1.9;77.8
RAG;20250112;76;-;-;975;0;240;-1.1;-3.8;1.4;68.5
RAG;20250113;75;-;-;977;0;378;-1.9;-3.7;0.3;62.3
RAG;20250114;75;-;-;973.9;0;376;-2.7;-5.5;0.5;77.1
RAG;20250115;59;-;-;971.7;0;185;-0.6;-3.9;2.3;79
RAG;20250116;74;-;-;973.5;0;382;-0.6;-3.7;4.3;77.5
RAG;20250117;69;-;-;974.5;0;283;-1.9;-4.6;0.8;87.4
RAG;20250118;73;-;-;969.2;0;371;-2.2;-4.2;0.5;87.9
RAG;20250119;55;-;-;962.4;0;314;-2.6;-5.2;-0.2;92.4
RAG;20250120;71;-;-;960.2;0;188;3.2;-3.8;12.2;73.3
RAG;20250121;57;-;-;958.5;0;145;-0.2;-2.8;5.5;91.1
RAG;20250122;31;-;-;952.2;0;22;8.1;-0.6;13;45
RAG;20250123;40;-;-;952.9;1;85;7.2;1;11.2;69.8
RAG;20250124;80;-;-;956.5;0;247;7.3;2.2;14.8;57.2
RAG;20250125;76;-;-;953.4;3.3;246;13.4;9.5;16.5;33.6
RAG;20250126;65;-;-;953.5;0.4;200;7;3.4;13.8;70.7
RAG;20250127;63;-;-;947;24.9;157;10.1;5.4;15.8;61.2
RAG;20250128;11;-;-;945;11;0;3.6;2;5.8;89.9
RAG;20250129;94;-;-;953.5;0;297;4.9;2.4;8.1;70.5
RAG;20250130;44;-;-;958.4;0;87;6.3;2.5;12;61.6
RAG;20250131;26;-;-;967.2;0;0;3.6;2.2;4.9;81.9
RAG;20250201;85;-;-;966.4;0;382;3.8;0.6;6.9;81.8
RAG;20250202;99;-;-;964;0;417;3.1;0.2;6.8;82.5
RAG;20250203;103;-;-;967.1;0;432;1.8;-2.2;7.5;80.1
RAG;20250204;107;-;-;970;0;434;0.9;-3.3;7.3;75.6
RAG;20250205;107;-;-;976.4;0;437;-0.8;-3.1;2.9;84.7
RAG;20250206;24;-;-;973.7;0;0;-0.7;-3;1.2;84.3
RAG;20250207;90;-;-;964;0;364;4.4;-2.7;11.7;55.4
RAG;20250208;119;-;-;962.8;0;413;9.5;5.8;14.7;39.6
RAG;20250209;71;-;-;966.6;0;105;4.1;0.1;8.4;77.8
RAG;20250210;69;-;-;963.8;0;114;3.6;-1;7.8;86.4
RAG;20250211;72;-;-;961.7;0;9;6.3;2.7;10.8;81.3
RAG;20250212;34;-;-;959.3;0;0;8.3;4.1;11.5;70.2
RAG;20250213;43;-;-;957.7;8.3;5;5;0.9;9.9;78
RAG;20250214;54;-;-;962;0.3;10;-0.3;-2.7;1.3;82.7
RAG;20250215;132;-;-;961.2;0;476;-1.5;-5.1;2.3;76.3
RAG;20250216;101;-;-;957.4;0;196;0.1;-3.7;4.1;82.7
RAG;20250217;115;-;-;960.3;0;372;1.9;0.4;5.1;76.9
RAG;20250218;129;-;-;962.4;0;460;0.9;-2.9;5.8;79
RAG;20250219;118;-;-;964.6;0;492;0.8;-3.7;4.7;81.4
RAG;20250220;108;-;-;968.1;0;268;6.3;1.4;12.6;64
RAG;20250221;138;-;-;965.1;0;495;10.1;4.3;15.1;52.2
RAG;20250222;106;-;-;962.9;0;157;12.1;4.8;17.5;44.8
RAG;20250223;106;-;-;970.5;0.4;233;7.7;2.7;13.5;77.1
RAG;20250224;99;-;-;966.4;0;87;8.1;3.3;12.9;75.2
RAG;20250225;62;-;-;956.8;0.6;20;9.2;5.6;15;63.2
RAG;20250226;32;-;-;960.4;0;0;5.7;1;7.6;71.6
RAG;20250227;90;-;-;961.4;1;131;3.8;-0.7;7.8;79.6
RAG;20250228;138;-;-;963.3;0;399;4.5;0.3;9.1;74.3
RAG;20250301;135;-;-;966;0;287;4.8;1.2;9;69.6
RAG;20250302;169;-;-;969.2;0;533;3.8;-1.9;10;69.9
RAG;20250303;175;-;-;968.1;0;536;4.6;-2.1;11.8;59.9
RAG;20250304;176;-;-;966.6;0;537;5.9;-1.4;12.9;55.2
RAG;20250305;177;-;-;966.2;0;541;9;3.5;15.3;44.4
RAG;20250306;171;-;-;963.8;0;535;12.3;6.8;19;31.7
RAG;20250307;180;-;-;960.2;0;547;11.6;6;18;31.7
RAG;20250308;183;-;-;954.7;0;550;12;5.1;18.8;32
RAG;20250309;142;-;-;948.4;0;346;13.7;9.1;18.1;30.9
RAG;20250310;97;-;-;945.2;0;75;11;5.9;14.2;56.1
RAG;20250311;144;-;-;944.2;0;239;11.3;6.6;17.5;46.7
RAG;20250312;91;-;-;939.3;0.4;86;8;5.8;12.1;75.9
RAG;20250313;40;-;-;939.3;16;3;5.4;2.6;6.5;89.1
RAG;20250314;83;-;-;945.7;0.3;22;4;1.9;7;81.1
RAG;20250315;113;-;-;948.9;0.3;30;5.8;3.8;10.2;80
RAG;20250316;52;-;-;955.9;3.9;0;4.5;3.8;5.8;87.3
RAG;20250317;84;-;-;962.7;0;35;4.6;0.6;9.2;73.3
RAG;20250318;213;-;-;965;0;582;5.8;-0.6;11.6;62.6
RAG;20250319;222;-;-;967.2;0;589;8.5;2.9;15.9;43.3
RAG;20250320;213;-;-;966.1;0;529;11.8;4.2;20.3;30.9
RAG;20250321;125;-;-;958.5;0;29;13.6;7.6;19;38.5
RAG;20250322;187;-;-;949;0;396;15.2;11.6;20;37.2
RAG;20250323;169;-;-;948;0;306;11.8;7.2;16.2;58.3
RAG;20250324;167;-;-;954.8;0;376;9.7;3.8;16.8;68
RAG;20250325;115;-;-;960.2;0.4;102;8.7;4.1;14.2;79.7
RAG;20250326;89;-;-;960.6;0;1;8.3;5.2;11.9;82.9
RAG;20250327;131;-;-;958.3;0;50;8.8;5.2;11.9;73.9
RAG;20250328;181;-;-;953.3;2.1;253;7.5;2.5;11.8;75.6
RAG;20250329;44;-;-;955.9;12;0;7.2;6.4;8.1;90
RAG;20250330;208;-;-;960.5;21.7;419;10.6;6.5;15.3;63.3
RAG;20250331;49;-;-;963.1;0.1;5;7.4;5.8;10.2;62.9
RAG;20250401;256;-;-;960;0;588;7.2;2.8;12.2;61.3
RAG;20250402;211;-;-;957.4;0;425;10.2;3.2;17.9;56.5
RAG;20250403;250;-;-;961.6;0;640;13.3;8.6;19.6;51
RAG;20250404;254;-;-;958.7;0;643;13.9;7.7;20.9;50.5
RAG;20250405;250;-;-;955.3;0;626;13.6;7.7;20.4;52.6
RAG;20250406;247;-;-;958.3;0;576;9.2;2.8;13.1;52.9
RAG;20250407;262;-;-;962.1;0;654;7.4;-0.3;13.9;53.5
RAG;20250408;256;-;-;964.2;0;632;8.4;0.6;15.3;55.3
RAG;20250409;249;-;-;962.4;0;601;10.5;3.2;17.1;50.3
RAG;20250410;262;-;-;965.5;0;647;10.4;3.1;18.4;51.5
RAG;20250411;271;-;-;961.8;0;673;13;6.5;20.4;47.1
RAG;20250412;231;-;-;953.9;0;505;16.4;9.1;22.2;39.9
RAG;20250413;158;-;-;951.8;0;155;16;9.2;21;53.9
RAG;20250414;197;-;-;950;0;326;15;7.8;19.7;64.1
RAG;20250415;195;-;-;944.5;0;280;17.8;15;21.7;45
RAG;20250416;241;-;-;948;0.3;453;16.2;9.1;24.2;50
RAG;20250417;79;-;-;949.9;5.2;29;9.3;7.7;11.9;82
RAG;20250418;172;-;-;955.4;0;83;8.8;5;12.4;75.5
RAG;20250419;226;-;-;950.6;0;462;14.9;5.7;21.9;49.3
RAG;20250420;119;-;-;950.6;0;77;12.8;7.5;18.7;58.4
RAG;20250421;233;-;-;954.9;0;425;11.9;5.6;19;70.8
RAG;20250422;237;-;-;959.4;0;320;13.5;8.7;18.6;65.2
